engine,scale_factor,query,status,seconds,rows_or_error
polars_cpu,500,query1,OK,9.558,4
polars_cpu,500,query2,OK,2.807,100
polars_cpu,500,query3,OK,8.973,10
polars_cpu,500,query4,OK,13.997,5
polars_cpu,500,query5,OK,10.325,5
polars_cpu,500,query6,OK,1.118,1
polars_cpu,500,query7,OK,29.612,4
polars_cpu,500,query8,OK,20.411,2
polars_cpu,500,query9,OK,58.346,175
polars_cpu,500,query10,OK,15.711,20
polars_cpu,500,query11,OK,3.211,467405
polars_cpu,500,query12,OK,6.975,2
polars_cpu,500,query13,OK,10.000,40
polars_cpu,500,query14,OK,1.970,1
polars_cpu,500,query15,OK,3.396,1
polars_cpu,500,query16,OK,5.963,27840
polars_cpu,500,query17,OK,5.200,1
polars_cpu,500,query18,OK,31.890,100
polars_cpu,500,query19,OK,3.646,1
polars_cpu,500,query20,OK,17.399,72343
polars_cpu,500,query21,OK,99.207,100
polars_cpu,500,query22,OK,6.762,7
duckdb_cpu,500,query1,OK,2.813,4
duckdb_cpu,500,query2,OK,1.100,100
duckdb_cpu,500,query3,OK,4.409,10
duckdb_cpu,500,query4,OK,4.152,5
duckdb_cpu,500,query5,OK,6.667,5
duckdb_cpu,500,query6,OK,3.238,1
duckdb_cpu,500,query7,OK,5.012,4
duckdb_cpu,500,query8,OK,6.506,2
duckdb_cpu,500,query9,OK,14.746,175
duckdb_cpu,500,query10,OK,10.189,20
duckdb_cpu,500,query11,OK,5.296,467405
duckdb_cpu,500,query12,OK,7.342,2
duckdb_cpu,500,query13,OK,12.557,40
duckdb_cpu,500,query14,OK,4.342,1
duckdb_cpu,500,query15,OK,8.233,1
duckdb_cpu,500,query16,OK,3.325,27840
duckdb_cpu,500,query17,OK,11.119,1
duckdb_cpu,500,query18,OK,38.761,100
duckdb_cpu,500,query19,OK,4.076,1
duckdb_cpu,500,query20,OK,7.548,72343
duckdb_cpu,500,query21,OK,39.036,100
duckdb_cpu,500,query22,OK,5.778,7
sirius,500,query1,OK,11.941,4
sirius,500,query2,OK,23.313,100
sirius,500,query3,FAIL,45.024,INTERNAL Error: Sirius GPU execution failed: Invalid Error: GPU pipeline task exceeded maximum OOM retry limit (100) for
sirius,500,query4,OK,10.026,5
sirius,500,query5,OK,93.196,5
sirius,500,query6,OK,7.691,1
sirius,500,query7,OK,30.081,4
sirius,500,query8,FAIL,150.786,INTERNAL Error: Sirius GPU execution failed: Invalid Error: GPU pipeline task exceeded maximum OOM retry limit (100) for
sirius,500,query9,FAIL,259.488,INTERNAL Error: Sirius GPU execution failed: Invalid Error: GPU pipeline task exceeded maximum OOM retry limit (100) for
sirius,500,query10,FAIL,38.820,INTERNAL Error: Sirius GPU execution failed: Invalid Error: GPU pipeline task exceeded maximum OOM retry limit (100) for
sirius,500,query11,OK,11.162,467405
sirius,500,query12,OK,11.552,2
sirius,500,query13,OK,12.348,40
sirius,500,query14,OK,10.927,1
sirius,500,query15,OK,12.219,1
sirius,500,query16,OK,11.361,27840
sirius,500,query17,OK,78.285,1
sirius,500,query18,OK,65.349,100
sirius,500,query19,OK,15.160,1
sirius,500,query20,OK,25.237,72343
sirius,500,query21,FAIL,57.888,INTERNAL Error: Sirius GPU execution failed: Invalid Error: GPU pipeline task exceeded maximum OOM retry limit (100) for
sirius,500,query22,OK,9.596,7
polars_gpu,500,query1,OK,15.566,4
polars_gpu,500,query2,OK,2.518,100
polars_gpu,500,query3,OK,106.617,10
polars_gpu,500,query4,OK,5.819,5
polars_gpu,500,query5,OK,164.054,5
polars_gpu,500,query6,OK,9.519,1
polars_gpu,500,query7,OK,370.149,4
polars_gpu,500,query8,OK,146.796,2
polars_gpu,500,query9,OK,564.026,175
polars_gpu,500,query10,OK,36.264,20
polars_gpu,500,query11,OK,2.614,467405
polars_gpu,500,query12,OK,111.426,2
polars_gpu,500,query13,OK,7.717,40
polars_gpu,500,query14,OK,18.379,1
polars_gpu,500,query15,OK,7.424,1
polars_gpu,500,query16,OK,5.732,27840
polars_gpu,500,query17,OK,14.716,1
polars_gpu,500,query18,OK,168.289,100
polars_gpu,500,query19,OK,140.954,1
polars_gpu,500,query20,OK,14.378,72343
polars_gpu,500,query21,OK,729.871,100
polars_gpu,500,query22,OK,2.266,7
rapids,500,query1,OK,12.841,4
rapids,500,query2,OK,36.669,100
rapids,500,query3,OK,43.942,10
rapids,500,query4,OK,22.869,5
rapids,500,query5,OK,100.273,5
rapids,500,query6,OK,6.649,1
rapids,500,query7,OK,50.730,4
rapids,500,query8,OK,121.137,2
rapids,500,query9,OK,157.832,175
rapids,500,query10,OK,41.082,20
rapids,500,query11,OK,30.058,467405
rapids,500,query12,OK,21.481,2
rapids,500,query13,OK,19.084,40
rapids,500,query14,OK,19.615,1
rapids,500,query15,OK,32.406,1
rapids,500,query16,OK,23.012,27840
rapids,500,query17,OK,61.234,1
rapids,500,query18,OK,124.530,100
rapids,500,query19,OK,21.525,1
rapids,500,query20,OK,41.127,72343
rapids,500,query21,OK,97.826,100
rapids,500,query22,OK,15.811,7
