engine,scale_factor,query,run,status,seconds,rows_or_error
duckdb_cpu,100,query1,1,OK,0.585798,4
duckdb_cpu,100,query1,2,OK,0.553149,4
duckdb_cpu,100,query1,3,OK,0.509597,4
duckdb_cpu,100,query1,4,OK,0.463673,4
duckdb_cpu,100,query1,5,OK,0.464688,4
duckdb_cpu,100,query3,1,OK,0.765585,10
duckdb_cpu,100,query3,2,OK,0.711053,10
duckdb_cpu,100,query3,3,OK,0.673168,10
duckdb_cpu,100,query3,4,OK,0.743150,10
duckdb_cpu,100,query3,5,OK,0.752129,10
duckdb_cpu,100,query5,1,OK,0.836357,5
duckdb_cpu,100,query5,2,OK,0.898605,5
duckdb_cpu,100,query5,3,OK,0.849213,5
duckdb_cpu,100,query5,4,OK,0.853143,5
duckdb_cpu,100,query5,5,OK,0.841986,5
duckdb_cpu,100,query6,1,OK,0.184943,1
duckdb_cpu,100,query6,2,OK,0.176162,1
duckdb_cpu,100,query6,3,OK,0.170355,1
duckdb_cpu,100,query6,4,OK,0.254171,1
duckdb_cpu,100,query6,5,OK,0.183933,1
duckdb_cpu,100,query13,1,OK,1.717515,45
duckdb_cpu,100,query13,2,OK,1.539134,45
duckdb_cpu,100,query13,3,OK,1.676052,45
duckdb_cpu,100,query13,4,OK,1.695976,45
duckdb_cpu,100,query13,5,OK,1.482410,45
duckdb_cpu,100,query16,1,OK,0.495838,27840
duckdb_cpu,100,query16,2,OK,0.437663,27840
duckdb_cpu,100,query16,3,OK,0.409127,27840
duckdb_cpu,100,query16,4,OK,0.405314,27840
duckdb_cpu,100,query16,5,OK,0.427246,27840
