query,status,seconds,gpu_ops,result_rows_or_error
query1,OK,12.841,14,4
query2,OK,36.669,92,100
query3,OK,43.942,29,10
query4,OK,22.869,25,5
query5,OK,100.273,68,5
query6,OK,6.649,9,1
query7,OK,50.730,70,4
query8,OK,121.137,88,2
query9,OK,157.832,52,175
query10,OK,41.082,39,20
query11,OK,30.058,86,467405
query12,OK,21.481,23,2
query13,OK,19.084,22,40
query14,OK,19.615,18,1
query15,OK,32.406,51,1
query16,OK,23.012,33,27840
query17,OK,61.234,33,1
query18,OK,124.530,50,100
query19,OK,21.525,20,1
query20,OK,41.127,74,72343
query21,OK,97.826,71,100
query22,OK,15.811,39,7
