query,status,seconds,result_rows_or_error
query1,OK,15.566,4
query2,OK,2.518,100
query3,OK,106.617,10
query4,OK,5.819,5
query5,OK,164.054,5
query6,OK,9.519,1
query7,OK,370.149,4
query8,OK,146.796,2
query9,OK,564.026,175
query10,OK,36.264,20
query11,OK,2.614,467405
query12,OK,111.426,2
query13,OK,7.717,40
query14,OK,18.379,1
query15,OK,7.424,1
query16,OK,5.732,27840
query17,OK,14.716,1
query18,OK,168.289,100
query19,OK,140.954,1
query20,OK,14.378,72343
query21,OK,729.871,100
query22,OK,2.266,7
